SMILES_RepeatUnit_1,SMILES_Monomer_0,MD,RepeatUnit_1_MFF_GPR,RepeatUnit_1_MFF_Lasso,RepeatUnit_1_MFF_RF,RepeatUnit_1_MFF_SVM,RepeatUnit_1_MFF_DNN,RepeatUnit_1_MFF_CNN,RepeatUnit_1_MF_GPR,RepeatUnit_1_MF_Lasso,RepeatUnit_1_MF_RF,RepeatUnit_1_MF_SVM,RepeatUnit_1_MF_DNN,RepeatUnit_1_MF_CNN,RepeatUnit_1_ME_GPR,RepeatUnit_1_ME_Lasso,RepeatUnit_1_ME_RF,RepeatUnit_1_ME_SVM,RepeatUnit_1_ME_DNN,RepeatUnit_1_ME_CNN,RepeatUnit_1_Descriptor_GPR,RepeatUnit_1_Descriptor_Lasso,RepeatUnit_1_Descriptor_RF,RepeatUnit_1_Descriptor_SVM,RepeatUnit_1_Descriptor_DNN,RepeatUnit_1_Descriptor_CNN,Polymerized_16_ME_GPR,Polymerized_16_ME_Lasso,Polymerized_16_ME_RF,Polymerized_16_ME_SVM,Polymerized_16_ME_DNN,Polymerized_16_ME_CNN,Polymerized_16_Descriptor_GPR,Polymerized_16_Descriptor_Lasso,Polymerized_16_Descriptor_RF,Polymerized_16_Descriptor_SVM,Polymerized_16_Descriptor_DNN,Polymerized_16_Descriptor_CNN,Polymerized_16_MFF_GPR,Polymerized_16_MFF_Lasso,Polymerized_16_MFF_RF,Polymerized_16_MFF_SVM,Polymerized_16_MFF_DNN,Polymerized_16_MFF_CNN,Polymerized_16_MF_GPR,Polymerized_16_MF_Lasso,Polymerized_16_MF_RF,Polymerized_16_MF_SVM,Polymerized_16_MF_DNN,Polymerized_16_MF_CNN,Monomer_0_MFF_GPR,Monomer_0_MFF_Lasso,Monomer_0_MFF_RF,Monomer_0_MFF_SVM,Monomer_0_MFF_DNN,Monomer_0_MFF_CNN,Monomer_0_MF_GPR,Monomer_0_MF_Lasso,Monomer_0_MF_RF,Monomer_0_MF_SVM,Monomer_0_MF_DNN,Monomer_0_MF_CNN,Monomer_0_ME_GPR,Monomer_0_ME_Lasso,Monomer_0_ME_RF,Monomer_0_ME_SVM,Monomer_0_ME_DNN,Monomer_0_ME_CNN,Monomer_0_Descriptor_GPR,Monomer_0_Descriptor_Lasso,Monomer_0_Descriptor_RF,Monomer_0_Descriptor_SVM,Monomer_0_Descriptor_DNN,Monomer_0_Descriptor_CNN,Monomer_0_CNN,RepeartUnit_1_CNN,Monomer_0_RNN,RepeartUnit_1_RNN,GCNN_Monomer,GCNN_RepeatUnit_1,GCNN_Polymerized_16
*O[Si](*)(CCC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)C,O.C[Si](Cl)(Cl)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,-68.87734458,-30.28,18.89,-5.15,28.96,-23.96,-19.21,-37.20,-13.04,-29.74,-4.47,-58.34,-18.62,-19.89,31.68,-29.02,39.88,-28.22,-10.74,-25.37,20.88,-19.68,26.72,21.88,20.47,-11.40,47.12,-22.08,37.45,39.67,-48.27,-26.05,1.61,-21.79,19.35,-6.47,-17.07,-9.08,37.66,-15.80,41.19,-4.34,-0.72,-41.93,-15.44,-37.29,-9.07,-18.87,-23.37,-31.09,17.20,-7.46,-1.01,-3.66,-12.91,-32.84,13.11,-17.16,4.11,14.25,-13.00,9.11,36.23,-1.24,34.32,-16.46,-29.02,33.48,15.60,-42.38,20.57,17.33,0.56,13.34,-39.60,47.83,-15.71,-38.45,-59.49,-61.17
*S(=O)(=O)c1ccc(cc1)C(=O)CNc1ccc(cc1)NCC(=O)c1ccc(cc1)*,Nc1ccc(N)cc1.O=C(CCl)c2ccc(S(=O)(=O)c1ccc(C(=O)CCl)cc1)cc2,198.9026743,197.28,197.33,174.40,198.82,187.63,207.32,215.55,181.59,189.90,187.66,187.05,175.23,230.27,214.83,213.57,224.98,201.86,221.77,212.14,184.74,200.32,189.88,180.05,193.98,237.96,174.05,212.70,171.57,187.05,208.63,179.26,159.97,208.48,168.94,153.25,172.06,188.48,174.76,176.84,165.93,161.21,171.26,211.15,177.63,197.89,186.71,181.92,170.79,203.50,188.43,257.64,200.65,195.32,221.93,228.77,206.72,248.46,210.49,211.40,191.06,238.67,242.23,232.15,255.00,295.62,274.30,223.06,224.01,225.98,212.99,229.38,236.25,244.25,240.34,235.97,129.61,296.03,281.91,226.32
*S(=O)(=O)c1ccc(cc1)C(=O)NCCNC(=O)c1ccc(cc1)*,NCCN.OC(=O)c1ccc(cc1)S(=O)(=O)c2ccc(cc2)C(=O)O,205.0712987,197.56,191.39,168.69,204.18,173.10,211.67,233.43,199.12,166.86,211.57,206.12,199.12,206.68,194.95,166.61,204.52,223.69,214.13,156.87,182.84,166.97,185.62,164.46,161.43,204.81,187.45,178.62,195.78,162.91,201.08,160.20,168.53,185.88,168.47,163.54,164.63,194.17,190.44,182.49,188.76,190.72,178.59,251.57,195.62,195.59,208.89,201.03,195.96,172.40,177.14,165.44,177.79,189.51,189.77,187.07,168.66,135.49,168.40,186.20,163.38,180.87,166.62,168.94,164.86,202.96,203.37,170.33,192.23,181.43,190.99,199.43,201.57,181.26,207.39,185.62,190.45,211.52,262.72,210.60
*c1cc2c(C(=O)N(C2=O)c2ccc(cc2)C(c2ccc(cc2)N2C(=O)c3c(C2=O)cc(cc3)C(=O)*)CCCCC)cc1,CCCCCC(c1ccc(N)cc1)c2ccc(N)cc2.O=C(c1ccc2C(=O)OC(=O)c2c1)c3ccc4C(=O)OC(=O)c4c3,204.7640603,222.63,207.38,196.83,205.22,249.39,222.50,231.29,181.06,219.62,181.00,218.78,236.00,248.79,236.70,220.27,252.46,242.06,234.02,234.98,230.58,213.49,209.78,233.59,234.15,252.48,213.40,219.83,222.93,172.34,195.11,243.85,219.98,205.19,208.42,215.19,210.58,229.06,196.56,199.28,190.77,184.82,211.50,229.76,180.86,219.50,180.32,202.92,228.70,261.87,236.21,195.72,241.47,234.79,247.85,233.67,234.79,173.77,233.85,227.66,230.35,260.56,252.77,236.14,267.82,240.86,229.80,239.91,235.09,261.06,229.92,238.86,234.70,271.27,284.63,188.86,205.28,293.46,265.69,216.30
*NC(=O)C(=O)NCCCCCCCCCCNC(=O)CCCCCCCCC(=O)NCCCCCCCCCC*,NCCCCCCCCCCNC(=O)C(=O)NCCCCCCCCCCN.ClC(=O)CCCCCCCCC(=O)Cl,82.2677155,41.66,16.52,46.59,21.52,98.80,69.98,45.07,40.53,47.55,39.83,49.03,52.25,62.27,42.32,81.62,25.85,74.19,141.16,28.12,8.51,51.90,1.84,26.20,64.30,57.85,41.02,70.90,29.48,47.05,76.87,3.45,-0.46,59.83,2.16,13.59,69.31,34.57,0.48,47.16,7.22,85.33,68.34,45.65,39.98,44.24,40.19,43.08,53.43,40.51,26.84,53.07,32.65,91.45,71.09,71.05,61.13,45.59,57.17,61.46,118.05,37.90,17.95,37.01,-6.79,59.96,107.90,55.05,20.97,41.82,33.79,27.35,27.53,51.84,58.03,34.97,22.21,46.64,83.63,63.21
*OC(=O)c1ccc(cc1)C(=O)OCCCCCCCCCCCCCCCCCCCC*,OCCCCCCCCCCCCCCCCCCCCO.COC(=O)c1ccc(cc1)C(=O)OC,17.27783213,12.52,13.73,22.85,11.51,25.46,16.11,20.33,4.75,36.69,9.45,23.84,35.07,23.10,6.01,20.72,-11.65,8.27,46.29,10.74,8.82,22.40,4.10,6.44,-7.21,7.70,12.24,14.73,-1.25,18.46,-1.02,2.80,-19.46,21.85,-18.37,-4.98,-8.14,9.54,20.52,28.54,8.69,2.22,20.96,23.24,4.75,39.19,8.39,18.76,28.43,10.96,18.35,22.23,18.29,45.71,10.30,24.87,14.56,40.41,12.91,18.26,-1.05,5.13,17.77,9.64,7.50,-15.42,15.12,-10.29,4.34,19.72,7.02,10.31,-5.03,52.61,12.56,-16.12,-3.72,12.66,20.17,6.61
*Oc1ccc(cc1)C(=O)Oc1ccc(cc1)Cc1ccc(cc1)OC(=O)c1ccc(cc1)OC(=O)c1ccc(cc1)C(=O)*,Oc1ccc(Cc2ccc(O)cc2)cc1.ClC(=O)c1ccc(OC(=O)c2ccc(cc2)C(=O)Oc3ccc(cc3)C(=O)Cl)cc1,88.16409459,176.35,160.69,185.37,147.62,159.62,118.72,136.51,125.01,94.17,117.00,133.92,133.76,158.28,190.68,162.86,179.63,150.14,154.43,167.21,148.19,153.81,135.32,132.38,144.03,164.17,170.27,172.09,157.39,158.39,135.11,166.14,139.32,157.16,137.41,128.31,146.66,177.87,163.16,178.50,148.67,151.57,154.70,123.20,122.43,98.76,117.01,141.77,133.66,189.58,184.28,182.80,177.76,130.77,144.41,164.36,129.01,134.75,113.53,129.62,158.31,196.12,195.82,184.56,191.78,189.69,186.21,177.73,144.80,163.10,150.15,131.93,160.72,170.77,156.86,185.17,107.03,186.03,152.38,124.44
*Oc1ccc(cc1)SSCCCCSSc1ccc(cc1)*,SCCCCS.CCOC(=O)SSc1ccc(Oc2ccc(SSC(=O)OCC)cc2)cc1,102.260186,93.97,126.81,90.24,127.27,104.86,109.50,95.72,80.70,121.95,87.62,94.13,112.90,-29.10,-19.80,89.62,-40.10,-45.86,25.16,-21.26,93.53,90.01,81.03,41.32,46.67,11.67,-24.09,80.34,-4.98,1.66,21.59,-14.60,84.20,61.76,80.40,67.21,47.79,86.59,98.08,94.70,80.60,59.03,78.76,109.72,88.92,122.27,93.11,95.40,109.20,53.76,33.27,52.83,25.69,57.61,74.70,82.90,58.72,64.69,51.68,60.45,49.85,50.52,-31.54,52.12,21.09,32.02,34.23,20.73,52.98,61.15,63.79,41.42,53.10,22.53,94.48,8.25,36.80,80.23,43.56,25.87
*Oc1ccc(cc1)C(=O)Nc1c(cc(cc1)c1cc(c(cc1)NC(=O)c1ccc(cc1)OCCCCCC*)Cl)Cl,CC(=O)Nc1c(Cl)cc(cc1)c1cc(Cl)c(cc1)NC(=O)C.OC(=O)c1ccc(OCCCCCCOc2ccc(cc2)C(=O)O)cc1,133.9866306,172.17,147.03,139.82,167.30,153.19,159.35,127.74,141.01,134.63,141.39,121.91,126.64,179.82,168.72,171.57,176.29,172.50,181.38,153.90,140.80,130.10,138.98,136.12,147.06,187.88,182.69,181.89,183.10,165.22,154.17,176.42,149.42,141.26,146.73,132.57,143.15,175.85,174.92,146.16,188.11,132.00,145.42,143.83,140.74,134.49,142.48,145.84,141.14,152.10,148.36,99.76,144.38,129.80,141.80,110.31,117.17,57.31,110.43,110.98,106.05,154.26,175.66,148.30,224.67,147.21,141.54,129.36,122.40,143.31,118.04,109.53,140.75,162.23,200.37,118.15,167.01,98.22,177.51,129.52
*c1c(cc(c(c1)C=Cc1ccc(cc1)OCCC(CCCC(C)C)C)C=C*)C=Cc1ccc(cc1)OCCC(CCCC(C)C)C,CC(C)CCCC(C)CCOc3ccc(C=Cc2cc(Br)c(C=Cc1ccc(OCCC(C)CCCC(C)C)cc1)cc2Br)cc3.CCCC[Sn](C=C[Sn](CCCC)(CCCC)CCCC)(CCCC)CCCC,2.868925186,27.06,53.24,74.02,44.21,70.76,80.21,83.25,44.67,57.92,46.11,15.00,61.14,167.62,58.48,71.64,22.56,80.64,107.75,109.82,77.79,109.89,83.16,89.91,97.43,224.87,0.54,98.04,-43.23,50.74,57.95,183.33,61.38,119.65,89.03,84.90,78.66,59.62,41.73,92.94,28.21,81.00,76.28,92.59,39.82,71.84,39.85,36.35,45.39,123.40,-66.65,71.97,-113.29,78.52,80.38,115.89,48.28,70.63,36.81,58.77,78.53,93.92,89.09,66.04,11.35,142.46,118.02,54.49,15.08,81.92,21.36,39.45,40.67,5.89,81.33,26.01,160.92,99.55,142.66,68.17
*c1ccc(cc1)C=C1C(=O)C(=Cc2ccc(cc2)C(=O)CCCCC(=O)*)CC1,c1ccccc1C=C2CCC(C2=O)=Cc1ccccc1.ClC(=O)CCCCC(=O)Cl,197.4539358,192.32,186.12,126.65,173.42,195.49,172.42,151.69,188.00,167.61,192.30,219.22,206.63,156.52,165.24,146.63,155.52,142.15,171.10,139.86,159.42,122.61,136.64,152.76,148.07,186.33,153.87,128.72,150.52,139.59,144.07,127.51,149.63,121.34,133.99,148.45,117.82,166.95,161.94,121.16,147.55,192.70,147.82,172.35,186.56,163.61,192.79,205.01,199.23,104.80,99.97,78.53,94.41,85.11,116.86,99.75,89.36,119.92,90.16,89.07,97.17,97.09,95.70,124.92,95.22,72.76,88.94,107.14,135.88,111.42,122.18,137.71,132.47,175.22,114.41,124.04,151.63,67.86,190.68,156.45
*SC(=O)CCCCC(=O)SCc1ccc(cc1)c1ccc(cc1)C*,SCc1ccc(cc1)c2ccc(cc2)CS.ClC(=O)CCCCC(=O)Cl,-14.32353196,85.13,67.88,59.16,64.92,69.90,93.65,107.56,126.65,75.75,117.73,101.01,95.77,35.34,65.17,87.84,33.73,45.91,82.78,27.80,114.12,68.74,112.95,69.21,77.25,36.65,51.92,91.74,87.31,76.80,59.71,72.78,115.75,81.87,108.23,115.97,64.79,104.24,89.36,67.20,100.80,103.83,112.01,102.21,125.78,72.40,123.92,92.32,110.50,75.00,67.93,59.21,60.75,65.61,122.79,108.43,115.43,72.04,92.54,114.20,131.59,73.28,52.63,78.40,45.46,67.16,85.99,99.69,100.29,98.55,102.04,95.92,92.20,81.00,41.94,67.88,89.69,61.75,84.42,68.99
*C(C*)(C(=O)OCCNC(=O)N(CC(C(C(OC1OC(C(C(C1O)O)O)CO)C(CO)O)O)O)CCCCCC)C,CC(C(OCCNC(N(CCCCCC)CC(O)C(O)C(OC1C(C(C(C(CO)O1)O)O)O)C(O)CO)=O)=O)=C,23.2402228,56.31,81.67,45.29,76.86,84.46,93.92,27.57,28.57,48.47,10.65,46.65,75.84,109.63,45.12,96.48,32.03,77.99,118.38,81.53,57.00,56.79,-4.60,49.21,151.98,132.52,-13.76,89.44,-15.58,83.49,61.21,18.86,113.27,50.03,56.22,105.49,114.24,57.56,47.19,106.63,35.99,44.97,75.47,43.82,30.60,73.90,6.54,58.23,86.52,18.75,38.15,29.96,21.78,16.15,37.41,-21.69,6.66,-12.37,6.40,16.18,28.98,6.45,-23.14,62.38,-51.81,-39.66,-30.02,-11.13,-26.46,31.20,-27.91,15.17,-7.81,132.29,51.40,32.79,23.83,132.77,109.29,130.78
*Oc1ccc(cc1)OC(=O)c1cc(cc(c1)NC(=O)c1ccc(cc1)NC(=O)C(N1C(=O)c2c(C1=O)cccc2)C)C(=O)*,[H][C@@](C)(C(=O)Nc2ccc(C(=O)Nc1cc(C(=O)O)cc(C(=O)O)c1)cc2)n4c(=O)c3ccccc3c4=O.Oc1ccc(O)cc1,58.7319127,205.26,210.39,229.62,215.50,202.24,193.05,210.41,219.56,218.69,228.93,200.33,253.74,166.50,198.93,225.86,186.58,191.73,218.05,203.74,192.91,205.87,186.60,183.45,186.88,161.10,170.14,224.92,186.85,200.02,188.29,212.10,209.78,204.07,207.29,195.06,198.97,198.22,210.81,217.95,208.53,166.09,179.09,202.53,213.54,213.78,215.92,176.64,250.66,196.61,232.92,195.81,230.45,210.18,210.40,206.25,191.79,198.12,207.96,180.07,173.85,182.52,176.93,212.68,198.65,204.38,200.06,251.58,177.07,222.38,167.00,169.48,194.20,216.23,234.03,188.31,213.34,181.78,211.96,208.10
*OC(=O)Nc1ccc(cc1)C(=O)OCC1CCC(CC1)C*,ClC(=O)c1ccc(N=C=O)cc1.OCC1CCC(CO)CC1,148.8519878,119.53,80.77,79.70,85.17,108.28,115.89,145.26,133.57,102.96,144.33,158.07,162.82,100.74,89.66,98.73,81.91,90.87,128.22,103.99,121.47,92.80,113.00,118.39,117.68,94.57,87.75,96.48,81.40,72.54,133.21,111.87,120.14,89.67,98.35,97.44,115.31,117.63,84.83,86.28,96.21,122.54,95.78,146.74,136.35,111.79,142.39,170.60,169.18,95.93,94.25,93.62,105.08,118.79,121.49,140.27,127.90,121.76,128.08,110.57,156.99,114.10,87.13,88.22,88.86,99.02,92.93,107.62,91.89,107.62,86.57,101.93,93.31,83.15,96.54,80.67,76.35,121.24,102.03,91.13
*Nc1c(cccc1)NC(=O)c1ccc(cc1)C(=O)*,,231.8080905,226.34,173.63,257.54,185.46,213.51,218.69,262.15,219.05,248.07,235.28,224.39,225.83,238.05,190.65,222.33,189.23,244.03,228.72,237.92,202.43,250.83,195.97,224.41,232.41,245.32,173.96,248.21,171.73,158.02,235.35,254.82,200.14,262.81,184.26,221.51,231.83,236.34,170.04,239.89,183.59,216.69,213.92,264.86,219.69,250.43,233.98,207.91,230.31,,,,,,,,,,,,,,,,,,,,,,,,,,299.44,,221.19,,299.99,272.37
*C(C*)(C(=O)OCCCCCCOc1ccc(cc1)C(=O)Oc1ccc(cc1)OCCCCCC)C,,14.67015775,37.60,14.12,31.08,3.03,55.07,31.76,47.80,38.78,48.98,36.60,50.39,48.87,33.80,28.52,35.89,20.75,38.90,50.00,39.73,15.32,36.70,18.40,27.27,25.14,28.44,26.37,30.51,15.90,38.89,17.84,20.01,28.16,36.14,43.47,44.71,38.52,37.37,13.94,33.64,7.63,39.38,26.65,43.23,38.88,47.33,38.79,58.60,48.51,,,,,,,,,,,,,,,,,,,,,,,,,,24.77,,44.76,,59.13,12.14
